name,team,player_position,penalty_name,penalty_yards
I.Taylor,Pittsburgh,CB,Illegal Receiver Pass,0
I.Taylor,Pittsburgh,CB,Personal Foul,30
I.Taylor,Pittsburgh,CB,Fair Catch Interference,0
I.Taylor,Pittsburgh,CB,Lowering the Head to Initiate Contact,0
J.Bush,Green Bay,CB,Intentional Grounding,33
J.Bush,Green Bay,CB,Illegal Procedure,0
J.Bush,Green Bay,CB,Short Free Kick,5
J.Greer,New Orleans,CB,Illegal Contact,15
J.Greer,New Orleans,CB,Face Mask,0
J.Hanson,Philadelphia,CB,Disqualification,0
J.Hanson,Philadelphia,CB,Running Into the Kicker,5
J.Joseph,Cincinnati,CB,Low Block,15
J.McCourty,Tennessee,CB,Ineligible Downfield Pass,5
J.Reeves,Houston,CB,Offside on Free Kick,0
J.Reeves,Houston,CB,Offensive 12 On-field,5
J.Reeves,Houston,CB,Unnecessary Roughness,218
J.Reeves,Houston,CB,Illegal Shift,5
K.Jackson,Houston,CB,Ineligible Downfield Kick,15
K.Lewis,Pittsburgh,CB,Offensive 12 On-field,0
K.Lucas,Seattle,CB,Defensive Delay of Game,5
L.Hall,Cincinnati,CB,Offensive Offside,0
L.Hall,Cincinnati,CB,Illegal Onside Kick,0
L.Hall,Cincinnati,CB,Offensive 12 On-field,0
L.Hall,Cincinnati,CB,Illegal Kick,0
L.Hall,Cincinnati,CB,Roughing the Kicker,0
L.Sheppard,N.Y. Jets,CB,Illegal Procedure,5
L.Sheppard,N.Y. Jets,CB,Leaping,0
L.Sheppard,N.Y. Jets,CB,Illegal Shift,5
M.Jenkins,Dallas,CB,Ineligible Downfield Pass,10
M.Jenkins,Dallas,CB,Illegal Forward Pass,5
M.Jenkins,Dallas,CB,Illegally Kicking Ball,0
M.Jenkins,Dallas,CB,Invalid Fair Catch Signal,0
M.Jenkins,Dallas,CB,Illegal Block Above the Waist,80
M.McKenzie,New Orleans,CB,Illegal Receiver Pass,0
M.Trufant,Seattle,CB,Illegal Crackback,0
M.Trufant,Seattle,CB,Offensive Offside,0
M.Trufant,Seattle,CB,Low Block,0
M.Trufant,Seattle,CB,Illegal Blindside Block,0
M.Trufant,Seattle,CB,Ineligible Downfield Kick,0
M.Trufant,Seattle,CB,Illegal Bat,10
N.Asomugha,Oakland,CB,Illegal Kick/Kicking Loose Ball,0
N.Asomugha,Oakland,CB,Kick Catch Interference,0
N.Asomugha,Oakland,CB,Face Mask,0
N.Asomugha,Oakland,CB,Illegal Procedure,0
N.Harper,Tennessee,CB,Illegal Formation,10
O.Scandrick,Dallas,CB,Leverage,0
O.Scandrick,Dallas,CB,Illegal Forward Handoff,0
O.Scandrick,Dallas,CB,Ineligible Downfield Kick,0
O.Scandrick,Dallas,CB,Disqualification,4
P.Lee,Green Bay,CB,Leaping,0
Q.Jammer,San Diego,CB,Illegal Crackback,0
